packet,record,run_id,model,family,condition,rep,packet_sha256,bytes,visible_events,availability,original_result,saved_implementation
P001,R0200,44f8e64b55856c97d1575883,Luna,X24,N,2,cc7c0ca30155f8032f641588f584f12de8192ebb08d415fbe625567f83a9176b,47317,18,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/44f8e64b55856c97d1575883/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/44f8e64b55856c97d1575883/attempts/attempt-001/workspace/app/service.py
P002,R0392,679022bb88fb6b5e5175fab7,Devstral,X11,N,2,da3d7426f30c6bc97fb7ef84f1a7be00b9f527867e7e4f7592634c484c83eed6,41079,60,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/679022bb88fb6b5e5175fab7/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/679022bb88fb6b5e5175fab7/working-copy/app/service.py
P003,R0262,a2ae9bef402c19c67abdc858,Terra,X02,I,2,0db4133d7d6576e6b09689ecd2b153ed65f2f2bfc96c9733cb3005789c6920a6,113254,43,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/a2ae9bef402c19c67abdc858/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/a2ae9bef402c19c67abdc858/attempts/attempt-001/workspace/app/service.csirpy
P004,R0429,144d467a2a0f421b26654467,Qwen30,F02,I,1,391ff5a876b47f2ec45bffe29c00a5eb9cbe7a788f5f9eccf82842c0f32399dd,15020,21,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/144d467a2a0f421b26654467/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/144d467a2a0f421b26654467/working-copy/app/service.py
P005,R0494,7505cde5d502dffe4ce8c482,Qwen30,X11,I,2,e5ee033517954605938b2cad3d894d1acbf3227c01ee66431d1276d212158663,21281,22,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/7505cde5d502dffe4ce8c482/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/7505cde5d502dffe4ce8c482/working-copy/app/service.py
P006,R0539,367866c96bd84145a890d152,QwenNext,F04,C,1,9c475c7a91215975c5fb9b9d59f3bd9946a5034f20eebbb7777082190618036a,19209,35,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/367866c96bd84145a890d152/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/367866c96bd84145a890d152/working-copy/app/service.py
P007,R0340,2d8afc94435e0280c3192dd9,Devstral,F08,C,2,3e5b5fdb4b699ec658b820c1d302bc7b5fd755623996ecee524bbe9a4678f4a2,14261,19,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/2d8afc94435e0280c3192dd9/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/2d8afc94435e0280c3192dd9/working-copy/app/service.py
P008,R0562,17fa30ce0044805cae644905,QwenNext,F20,B,2,e35e65868584fc45f9a53d2fced66a3f21e68b26eaa2ee59a110a0d11c9f719f,19791,31,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/17fa30ce0044805cae644905/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/17fa30ce0044805cae644905/working-copy/app/service.py
P009,R0553,40fa2b162c4f259b737289b3,QwenNext,F17,B,1,b137305f7a1bdcc659ef5770d294c713700c4b5a0d354b87b66c77dae37ba0f7,18532,31,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/40fa2b162c4f259b737289b3/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/40fa2b162c4f259b737289b3/working-copy/app/service.py
P010,R0003,79073b176698ed7cde2ac8a1,GPT55,F01,C,1,172d1b96428020703c879b8b533a5e1113508379d658526838443266458e9804,15936,24,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/79073b176698ed7cde2ac8a1/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/79073b176698ed7cde2ac8a1/attempts/attempt-001/workspace/app/service.py
