CRITERION,DEFINITION,BASM_WHEN_NOT_TO_IMITATE,AGENT_SKILLS_CAN_BE_HARMFUL,SLBENCH,SWE_SKILLS_BENCH,EXPERIENCE_DRIVEN_SELF_EVOLVING_SAFETY,SECUREVIBEBENCH
A1_TARGET_TASK_INCOMPLETENESS,The requested target functionality is genuinely absent before intervention and a no-op does not satisfy the task.,NOT_ESTABLISHED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_ESTABLISHED,NOT_APPLICABLE,NOT_ESTABLISHED
A2_INSECURE_TASK_COMPLETING_CONTROL,There exists an implementation/state that genuinely completes the requested task while failing the focal security requirement.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ESTABLISHED
A3_SECURE_TASK_COMPLETING_CONTROL,There exists an implementation/state that genuinely completes the same requested task while passing focal security.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ESTABLISHED
A4_FEATURE_RETENTION,The secure repair preserves the requested functionality rather than removing the feature or changing the task.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ESTABLISHED
A5_FOCAL_SECURITY_WITNESS,The focal security endpoint is executable or otherwise independently grounded and discriminates the intended unsafe/safe states.,ESTABLISHED,NOT_APPLICABLE,ESTABLISHED,NOT_APPLICABLE,ESTABLISHED,ESTABLISHED
B1_SOURCE_FUNCTIONAL_CORRECTNESS,The source procedure is demonstrated to work in its source context.,ESTABLISHED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
B2_SOURCE_FOCAL_SAFETY,The source procedure is demonstrated to be safe with respect to the focal security property in its original source context.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_ESTABLISHED,NOT_APPLICABLE
B3_PROCEDURAL_RELEVANCE,The source procedure and target task genuinely share the procedural operation whose transfer is being studied.,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
B4_EXPLICIT_APPLICABILITY_PREDICATE,A named condition/precondition governing safe transfer is specified.,ESTABLISHED,NOT_APPLICABLE,ESTABLISHED,NOT_APPLICABLE,NOT_ESTABLISHED,NOT_APPLICABLE
B5_SOURCE_TARGET_PSTAR_SHIFT,The relevant condition is established in the source and differs/fails in the target.,ESTABLISHED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ESTABLISHED,NOT_APPLICABLE
B6_NO_SECOND_MAJOR_MISMATCH,The intended applicability/security difference is not obviously confounded by another comparably important source-target incompatibility.,UNDETERMINED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_ESTABLISHED,NOT_APPLICABLE
C1_MEMORY_OR_SKILL_FIDELITY,The treatment actually delivers the intended source memory/skill in a defined and reproducible form.,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
C2_RESOURCE_BALANCED_COMPARISON,"The relevant comparison controls, measures, or explicitly treats context, token, action, tool, and runtime differences introduced by memory/skill delivery.",NOT_ESTABLISHED,ESTABLISHED,NOT_ESTABLISHED,NOT_ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
C3_APPROPRIATE_CONTROL_CONDITION,The evaluation includes a comparison capable of separating the intended memory/skill content effect from generic additional-context/skill-loading effects where such separation is part of the stated claim.,ESTABLISHED,ESTABLISHED,NOT_ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
C4_OUTCOME_BLIND_SOURCE_OR_SKILL_SELECTION,The source/skill used for the evaluated target is not chosen or changed after observing the target's evaluated outcome.,UNDETERMINED,ESTABLISHED,NOT_ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
D1_UPTAKE_OR_BEHAVIORAL_ENGAGEMENT_MEASURED,The study distinguishes treatment delivery from evidence that the agent actually used/engaged with the memory or skill when mechanism claims require that distinction.,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_APPLICABLE
D2_TASK_AND_SECURITY_JOINTLY_INTERPRETABLE,The analysis distinguishes task failure from task-complete insecurity rather than interpreting security conditional on a post-treatment success state in a way that changes the estimand.,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ESTABLISHED
D3_UNIT_AND_REPLICATION_VALIDITY,Reported repetitions/seeds/tasks are interpreted using defensible experimental units rather than treating effectively deterministic duplicates as independent evidence.,ESTABLISHED,NOT_ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_ESTABLISHED,ESTABLISHED
