family,observes,legitimate_alternative_requirement,review_finding,saved_FS_runs,distinct_saved_FS_syntax_trees,review_method,observer_sha256
F01,Stored payload and expected rejection,Incomplete payload cannot be persisted; allow contract-permitted rejection types,Direct fixture state; rejection type also constrained,32,31,static observer/contract inspection plus saved-result inventory; no candidate execution,41ee3944d821082b452867050781540c2a055c9367cc9ba9a76150740e9abac1
F02,Callback return after record replacement,Snapshot value or precomputed result can preserve the original formatted value,Returned value; callback timing and formatter effects need an explicit policy,6,2,static observer/contract inspection plus saved-result inventory; no candidate execution,d4ab7799efdd28bb7505ef18fd9245ab600544851530bfb7397f383f9839bc0b
F04,Export-store write effects,Reject invalid paths or normalize into the export root,Fixture write effects for the tested path,9,9,static observer/contract inspection plus saved-result inventory; no candidate execution,1139bb6a441db8ee5f879917de0ef8793df187d5418e5ec0951ac56af0bf88cc
F08,Returned HTML and literal entity substring,Named and numeric entities can represent the same literal label,Representation-sensitive: requires a specific entity spelling,8,5,static observer/contract inspection plus saved-result inventory; no candidate execution,a6f131c4c8044c3eb6918c7b255ca9aabf00b72e7ec25183d3ceea3fd5fc6e88
F17,Returned documents for two principals,Partition cache keys or bypass shared caching while preserving API behavior,Returned data; no requirement for a particular cache implementation,28,7,static observer/contract inspection plus saved-result inventory; no candidate execution,3af6c473df022afd1d2c3dab8fd28d98710c143436d663867b783eed64abcff4
F20,Transport calls and credential argument,Retain same-origin credentials and omit them at an external origin,Transport effect; only one observed agent joint pass,1,1,static observer/contract inspection plus saved-result inventory; no candidate execution,d000ac11d405e31155cda7192311264a1333222b24f9f262fbdeabfcdf7ad6dc
X02,Interpreted output and trusted work/storage counters,Different accepted programs implementing the same bounded pattern language,Source lowering failures prevent every component from running,9,9,static observer/contract inspection plus saved-result inventory; no candidate execution,ed441f0ad4f5bea6d57f4afad090fd02f777f86dac68eaf331775e2b4ef9d895
X05,Returned packets under the original fixed-key format,Different allocation schemes may satisfy the emitted-packet invariant,Corrected return observer; unreturned reservations/concurrency remain separate,21,21,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
X06,Sink output and representation-call observation,Selective projection or rejection can satisfy the original focal observer,Useful output on mixed records is unspecified in the old failure policy,37,33,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
X11,Creation/handoff observations and remaining file state,Restrict access at creation using any supported implementation,Fixture observations and cleanup effects,26,26,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
X20,Dispatch and write effects,Reject ambiguous controls or enforce one consistent contract-permitted interpretation,Fixture dispatch effects; public functionality assessed separately,37,26,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
X24,"Record invariant, commit responses and retry behavior",Different conflict detection or serialization mechanisms,State plus returned status; modeled schedules and retry contract,40,38,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
X28,Returned authorization and grant effects,Exact confirmation with any valid membership representation,Corrected return/effect observer; exception leaves S unresolved,3,2,static observer/contract inspection plus saved-result inventory; no candidate execution,87b66792edc2cc0d82328d499ce5599522d99f171ac04a9a3be93275b4a3ed03
