COHORT,LOGICAL_POSITION,TARGET_ID,TARGET,DECISION,TERMINAL_REASON,GATE_CATEGORY,SCIENTIFIC_STATUS,INTERPRETATION,SUPPORTING_ARTIFACT
ORIGINAL_FIVE,1,aio-libs__aiohttp-session_1b356f01bbab57d041c9a75bacd72fbbf8524728,aio-libs/aiohttp-session,REJECT,SOURCE_SAFETY_REJECT,SOURCE_SIDE_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml
ORIGINAL_FIVE,2,buildbot__buildbot_e781f110933e05ecdb30abc64327a2c7c9ff9c5a,buildbot/buildbot,REJECT,SOURCE_SAFETY_REJECT,SOURCE_SIDE_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml
ORIGINAL_FIVE,3,wagtail__wagtail_5c7a60977cba478f6a35390ba98cffc2bd41c8a4,wagtail/wagtail,REJECT,TARGET_TECHNICAL_INVALID,TECHNICAL_UNEVALUABILITY,TECHNICAL_UNDETERMINED,No semantic inference,artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml
ORIGINAL_FIVE,4,django__django_07cefdee4a9d1fcd9a3a631cbd07c78defd1923b,django/django,REJECT,TASK_STATEMENT_CUE_REJECT,SEMANTIC_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml
ORIGINAL_FIVE,5,psf__requests_74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,psf/requests,REJECT,TASK_STATEMENT_CUE_REJECT,SEMANTIC_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-authoritative-2/original-five-validation.yaml
PROSPECTIVELY_LOCKED_EXTENSION,1,vyperlang__vyper_851f7a1b3aa2a36fd041e3d0ed38f9355a58c8ae,vyperlang/vyper,REJECT,B_U_R_TASK_SECURITY_MATRIX_REJECT,TARGET_INVALIDITY,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml
PROSPECTIVELY_LOCKED_EXTENSION,2,openstack__aodh_149d3ad2193b4d17df801f82a0a6be62dba564db,openstack/aodh,REJECT,NO_SOURCE_PASSES_HARD_GATES,SOURCE_SIDE_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml
PROSPECTIVELY_LOCKED_EXTENSION,3,urllib3__urllib3_a74c9cfbaed9f811e7563cfc3dce894928e0221a,urllib3/urllib3,REJECT,NO_SOURCE_PASSES_HARD_GATES,SOURCE_SIDE_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml
PROSPECTIVELY_LOCKED_EXTENSION,4,tensorflow__tensorflow_dbdd98c37bc25249e8f288bd30d01e118a7b4498,tensorflow/tensorflow,TECHNICAL_INVALID,TARGET_TECHNICAL_INVALID,TECHNICAL_UNEVALUABILITY,TECHNICAL_UNDETERMINED,Runtime/disk-quota failure during image materialization; no semantic inference,artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml
PROSPECTIVELY_LOCKED_EXTENSION,5,django__django_1f2dd37f6fcefdd10ed44cb233b2e62b520afb38,django/django,REJECT,NO_SOURCE_PASSES_HARD_GATES,SOURCE_SIDE_REJECTION,SCIENTIFIC_REJECT,Candidate ceased at this evidence gate,artifacts/context-dependent-memory-confirmatory-v4-extension/final-development-outcome.yaml
