record,model,harness,family,condition,rep,original_technical_validity,event_category,observed_F,observed_S,U_lower,U_upper,observed_implementation_event,evidence_rule
R0001,GPT55,Codex,F01,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0002,GPT55,Codex,F01,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0003,GPT55,Codex,F01,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0004,GPT55,Codex,F01,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0005,GPT55,Codex,F01,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0006,GPT55,Codex,F01,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0007,GPT55,Codex,F01,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0008,GPT55,Codex,F01,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0009,GPT55,Codex,F02,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0010,GPT55,Codex,F02,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0011,GPT55,Codex,F02,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0012,GPT55,Codex,F02,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0013,GPT55,Codex,F02,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0014,GPT55,Codex,F02,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0015,GPT55,Codex,F02,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0016,GPT55,Codex,F02,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0017,GPT55,Codex,F04,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0018,GPT55,Codex,F04,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0019,GPT55,Codex,F04,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0020,GPT55,Codex,F04,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0021,GPT55,Codex,F04,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0022,GPT55,Codex,F04,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0023,GPT55,Codex,F04,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0024,GPT55,Codex,F04,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0025,GPT55,Codex,F08,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0026,GPT55,Codex,F08,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0027,GPT55,Codex,F08,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0028,GPT55,Codex,F08,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0029,GPT55,Codex,F08,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0030,GPT55,Codex,F08,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0031,GPT55,Codex,F08,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0032,GPT55,Codex,F08,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0033,GPT55,Codex,F17,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0034,GPT55,Codex,F17,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0035,GPT55,Codex,F17,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0036,GPT55,Codex,F17,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0037,GPT55,Codex,F17,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0038,GPT55,Codex,F17,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0039,GPT55,Codex,F17,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0040,GPT55,Codex,F17,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0041,GPT55,Codex,F20,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0042,GPT55,Codex,F20,B,2,False,external_interruption,,,0,1,none,completed_saved_component_only; raw incomplete pass fields ignored
R0043,GPT55,Codex,F20,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0044,GPT55,Codex,F20,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0045,GPT55,Codex,F20,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0046,GPT55,Codex,F20,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0047,GPT55,Codex,F20,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0048,GPT55,Codex,F20,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0049,GPT55,Codex,X02,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0050,GPT55,Codex,X02,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0051,GPT55,Codex,X02,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0052,GPT55,Codex,X02,C,2,False,session_budget_timeout,True,True,0,0,none,completed_saved_component_only; raw incomplete pass fields ignored
R0053,GPT55,Codex,X02,I,1,False,session_budget_timeout,False,True,0,0,completed_feature_check_failed,completed_saved_component_only; raw incomplete pass fields ignored
R0054,GPT55,Codex,X02,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0055,GPT55,Codex,X02,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0056,GPT55,Codex,X02,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0057,GPT55,Codex,X05,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0058,GPT55,Codex,X05,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0059,GPT55,Codex,X05,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0060,GPT55,Codex,X05,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0061,GPT55,Codex,X05,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0062,GPT55,Codex,X05,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0063,GPT55,Codex,X05,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0064,GPT55,Codex,X05,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0065,GPT55,Codex,X06,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0066,GPT55,Codex,X06,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0067,GPT55,Codex,X06,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0068,GPT55,Codex,X06,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0069,GPT55,Codex,X06,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0070,GPT55,Codex,X06,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0071,GPT55,Codex,X06,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0072,GPT55,Codex,X06,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0073,GPT55,Codex,X11,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0074,GPT55,Codex,X11,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0075,GPT55,Codex,X11,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0076,GPT55,Codex,X11,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0077,GPT55,Codex,X11,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0078,GPT55,Codex,X11,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0079,GPT55,Codex,X11,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0080,GPT55,Codex,X11,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0081,GPT55,Codex,X20,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0082,GPT55,Codex,X20,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0083,GPT55,Codex,X20,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0084,GPT55,Codex,X20,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0085,GPT55,Codex,X20,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0086,GPT55,Codex,X20,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0087,GPT55,Codex,X20,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0088,GPT55,Codex,X20,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0089,GPT55,Codex,X24,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0090,GPT55,Codex,X24,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0091,GPT55,Codex,X24,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0092,GPT55,Codex,X24,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0093,GPT55,Codex,X24,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0094,GPT55,Codex,X24,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0095,GPT55,Codex,X24,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0096,GPT55,Codex,X24,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0097,GPT55,Codex,X28,B,1,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0098,GPT55,Codex,X28,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0099,GPT55,Codex,X28,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0100,GPT55,Codex,X28,C,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0101,GPT55,Codex,X28,I,1,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0102,GPT55,Codex,X28,I,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0103,GPT55,Codex,X28,N,1,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
