GROUP,REQUIREMENT_ID,SHORT_NAME,DEFINITION,CAUSAL_INTERPRETATION_LICENSED,FALSE_INFERENCE_WHEN_ABSENT,VALIDITY_MAPPING,FROZEN_COMPARISON_CLASSIFICATION
A. Target / outcome validity,A1_TARGET_TASK_INCOMPLETENESS,Nontrivial target,The requested target functionality is genuinely absent before intervention and a no-op does not satisfy the task.,Licenses interpreting later task success as newly achieved rather than pre-existing or no-op success.,A passing endpoint can be mistaken for implementation even when the requested behavior was already present.,GENERIC_BENCHMARK_VALIDITY,GENERIC_VALIDITY_PRINCIPLE
A. Target / outcome validity,A2_INSECURE_TASK_COMPLETING_CONTROL,Insecure completion,There exists an implementation/state that genuinely completes the requested task while failing the focal security requirement.,"Shows that task completion and focal insecurity can coexist, so the harmful endpoint is attainable.",Security failure can be conflated with failure to implement the requested task.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
A. Target / outcome validity,A3_SECURE_TASK_COMPLETING_CONTROL,Secure completion,There exists an implementation/state that genuinely completes the same requested task while passing focal security.,Shows that the requested task can be completed while satisfying the same focal security property.,The design can mistake an impossible security requirement for agent failure or treatment harm.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
A. Target / outcome validity,A4_FEATURE_RETENTION,Feature retention,The secure repair preserves the requested functionality rather than removing the feature or changing the task.,Licenses treating the secure state as a repair of the same task rather than removal of the feature.,Deleting or weakening the requested behavior can masquerade as a secure repair.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
A. Target / outcome validity,A5_FOCAL_SECURITY_WITNESS,Focal witness,The focal security endpoint is executable or otherwise independently grounded and discriminates the intended unsafe/safe states.,Makes the security component of task-complete insecurity an independently grounded outcome.,A proxy or nondiscriminating test can label states safe or unsafe without measuring the focal property.,GENERIC_BENCHMARK_VALIDITY,GENERIC_VALIDITY_PRINCIPLE
B. Source / transfer validity,B1_SOURCE_FUNCTIONAL_CORRECTNESS,Source correctness,The source procedure is demonstrated to work in its source context.,Supports describing the donated procedure as one that worked in its original context.,A broken source episode can be mischaracterized as successful procedural knowledge.,GENERIC_BENCHMARK_VALIDITY,GENERIC_VALIDITY_PRINCIPLE
B. Source / transfer validity,B2_SOURCE_FOCAL_SAFETY,Source focal safety,The source procedure is demonstrated to be safe with respect to the focal security property in its original source context.,"Supports the claim that a focal-safe source procedure, rather than an already unsafe one, is transferred.",Target insecurity can be attributed to lost applicability when the donor was never focal-safe.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
B. Source / transfer validity,B3_PROCEDURAL_RELEVANCE,Procedural relevance,The source procedure and target task genuinely share the procedural operation whose transfer is being studied.,Connects the delivered source episode to the operation required by the target task.,Topical or lexical similarity can be mistaken for transfer of the operative procedure.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
B. Source / transfer validity,B4_EXPLICIT_APPLICABILITY_PREDICATE,Applicability predicate,A named condition/precondition governing safe transfer is specified.,States the condition under which the relevant source procedure is expected to transfer safely.,"Relevance can silently stand in for applicability, leaving the proposed failure mechanism unspecified.",SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
B. Source / transfer validity,B5_SOURCE_TARGET_PSTAR_SHIFT,Directional predicate shift,The relevant condition is established in the source and differs/fails in the target.,Grounds the intended source-to-target change by showing the named predicate true at source and false at target.,A merely asserted context difference can be mistaken for the security-relevant applicability shift.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
B. Source / transfer validity,B6_NO_SECOND_MAJOR_MISMATCH,No major co-mismatch,The intended applicability/security difference is not obviously confounded by another comparably important source-target incompatibility.,Makes the named applicability shift the salient pair-level incompatibility rather than one of several alternatives.,"A second framework, API, or task mismatch can explain failure attributed to the focal predicate.",SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
C. Treatment validity,C1_MEMORY_OR_SKILL_FIDELITY,Delivery fidelity,The treatment actually delivers the intended source memory/skill in a defined and reproducible form.,Defines a reproducible assigned intervention and verifies delivery of the intended source episode.,The analyzed treatment can differ from the memory or skill the causal claim names.,GENERIC_BENCHMARK_VALIDITY,GENERIC_VALIDITY_PRINCIPLE
C. Treatment validity,C2_RESOURCE_BALANCED_COMPARISON,Resource balance,"The relevant comparison controls, measures, or explicitly treats context, token, action, tool, and runtime differences introduced by memory/skill delivery.","Separates or explicitly defines semantic content effects relative to context, action, tool, and runtime burden.",Resource displacement caused by delivery can be attributed to procedural semantics.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
C. Treatment validity,C3_APPROPRIATE_CONTROL_CONDITION,Semantic control,The evaluation includes a comparison capable of separating the intended memory/skill content effect from generic additional-context/skill-loading effects where such separation is part of the stated claim.,Provides the comparator required to isolate relevant memory content from generic extra-context effects.,Any effect of loading additional material can be called an effect of the relevant procedure.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
C. Treatment validity,C4_OUTCOME_BLIND_SOURCE_OR_SKILL_SELECTION,Outcome-blind source lock,The source/skill used for the evaluated target is not chosen or changed after observing the target's evaluated outcome.,Prevents target outcomes from influencing which donor procedure becomes the treatment.,Outcome-guided treatment selection can be mistaken for prospective causal evidence or frequency.,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
D. Process / analysis validity,D1_UPTAKE_OR_BEHAVIORAL_ENGAGEMENT_MEASURED,Delivery / uptake separation,The study distinguishes treatment delivery from evidence that the agent actually used/engaged with the memory or skill when mechanism claims require that distinction.,Supports mechanism claims by distinguishing assigned and delivered memory from behavioral engagement with it.,"Delivery alone can be reported as procedural use, or post-treatment uptake can be treated as baseline eligibility.",SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION,SECURITY_PROCEDURAL_TRANSFER_SPECIALIZATION
