record,harness,model,family,condition,rep,original_valid,original_F,original_S,original_U,original_outcome,termination,revised_valid,revised_F,revised_S,revised_U,revised_outcome,review_status,full_contract_adjudication,X06_mixed_fixture_mechanism
R0001,Codex,GPT55,F01,B,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0002,Codex,GPT55,F01,B,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0003,Codex,GPT55,F01,C,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0004,Codex,GPT55,F01,C,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0005,Codex,GPT55,F01,I,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0006,Codex,GPT55,F01,I,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0007,Codex,GPT55,F01,N,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0008,Codex,GPT55,F01,N,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0009,Codex,GPT55,F02,B,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0010,Codex,GPT55,F02,B,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0011,Codex,GPT55,F02,C,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0012,Codex,GPT55,F02,C,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0013,Codex,GPT55,F02,I,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0014,Codex,GPT55,F02,I,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0015,Codex,GPT55,F02,N,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0016,Codex,GPT55,F02,N,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0017,Codex,GPT55,F04,B,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0018,Codex,GPT55,F04,B,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0019,Codex,GPT55,F04,C,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0020,Codex,GPT55,F04,C,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0021,Codex,GPT55,F04,I,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0022,Codex,GPT55,F04,I,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0023,Codex,GPT55,F04,N,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0024,Codex,GPT55,F04,N,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0025,Codex,GPT55,F08,B,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0026,Codex,GPT55,F08,B,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0027,Codex,GPT55,F08,C,1,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0028,Codex,GPT55,F08,C,2,True,True,True,False,F_PASS_S_PASS,SUCCESS,True,True,True,False,F_PASS_S_PASS,not_replayed_unaffected_family,,
R0029,Codex,GPT55,F08,I,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0030,Codex,GPT55,F08,I,2,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
R0031,Codex,GPT55,F08,N,1,True,True,False,True,F_PASS_S_FAIL,SUCCESS,True,True,False,True,F_PASS_S_FAIL,not_replayed_unaffected_family,,
